"SA2Code","SA2Name","Team_Member","number_of_employees","number_worked_from_home","percentage_wfh"
309031235,"Arundel","Dave",4680,258,0.0551282051282051
309061246,"Carrara","Charlie",5985,331,0.0553049289891395
305031123,"Grange","Steff",2288,127,0.055506993006993
316021424,"Wurtulla - Birtinya","Dave",3677,206,0.0560239325537123
309011226,"Burleigh Waters","Dave",6630,372,0.0561085972850679
301021011,"Sheldon - Mount Cotton","Steff",4286,242,0.0564629024731685
305041135,"Paddington - Milton","Steff",6522,369,0.0565777368905244
301031015,"Manly - Lota","Kate",3598,204,0.056698165647582
305011107,"Highgate Hill","Kate",3377,192,0.0568551969203435
309021232,"Currumbin Waters","Charlie",4192,239,0.057013358778626
313011362,"Beachmere - Sandstone Point","Eric",5234,299,0.0571264807030951
309071252,"Helensvale","Dave",8049,468,0.0581438688035781
311061329,"Daisy Hill","Kate",3272,191,0.0583740831295844
309101270,"Surfers Paradise","Charlie",11222,657,0.0585457137765104
304021086,"Bellbowrie - Moggill","Steff",5105,300,0.0587659157688541
309021231,"Currumbin - Tugun","Charlie",5309,313,0.0589564889809757
301021007,"Cleveland","Charlie",6590,390,0.0591805766312595
309021234,"Palm Beach","Charlie",7087,420,0.0592634401015945
303011051,"Carindale","Steff",8028,482,0.060039860488291
304031094,"Indooroopilly","Steff",5924,360,0.0607697501688049
309011228,"Mermaid Waters","Dave",5812,355,0.0610805230557467
309021230,"Coolangatta","Charlie",2549,156,0.0612004707728521
313051542,"Scarborough - Newport - Moreton Island","Dave",5409,332,0.0613791828434091
305041132,"Ashgrove","Steff",7066,434,0.0614208887630909
305021118,"Norman Park","Steff",3629,224,0.0617249931110499
304011085,"Westlake","Steff",2314,143,0.0617977528089888
309011227,"Mermaid Beach - Broadbeach","Dave",6508,404,0.0620774431468961
309021233,"Elanora","Charlie",5546,346,0.0623873061666066
304011081,"Jindalee - Mount Ommaney","Steff",3762,235,0.0624667729930888
301031019,"Wakerley","Steff",4677,293,0.0626469959375668
305031129,"Wilston","Steff",2169,136,0.0627017058552328
302041044,"Sandgate - Shorncliffe","Dave",3026,190,0.0627891606080634
310021280,"Lockyer Valley - East","Eric",7577,476,0.0628216972416524
313021367,"Elimbah","Charlie",1921,122,0.0635085892764185
309081261,"Robina","Dave",11026,706,0.0640304734264466
313011363,"Bribie Island","Eric",5262,347,0.0659445077917142
305031124,"Hamilton (Qld)","Steff",3593,237,0.0659615919844141
316021419,"Caloundra - Kings Beach","Eric",2455,162,0.0659877800407332
305031125,"Hendra","Steff",2490,165,0.0662650602409639
302011023,"Bridgeman Downs","Steff",4142,276,0.0666344760985031
316031428,"Mooloolaba - Alexandra Headland","Charlie",5720,382,0.0667832167832168
316051438,"Tewantin","Charlie",3999,268,0.0670167541885471
316061442,"Landsborough","Charlie",4692,315,0.0671355498721228
317011451,"Lockyer Valley - West","Charlie",5233,354,0.0676476208675712
305031121,"Ascot","Steff",2814,191,0.0678749111584932
305021113,"Balmoral","Steff",2339,162,0.0692603676784951
309051245,"Reedy Creek - Andrews","Kate",4034,280,0.0694100148735746
316061441,"Glass House Mountains","Charlie",2602,181,0.0695618754803997
301021008,"Ormiston","Kate",2771,193,0.0696499458679177
311051324,"Cornubia - Carbrook","Kate",4492,313,0.0696794300979519
309051244,"Mudgeeraba - Bonogin","Dave",8871,620,0.0698906549430729
316061439,"Beerwah","Charlie",3522,249,0.0706984667802385
304031092,"Chelmer - Graceville","Steff",3716,267,0.0718514531754575
310021281,"Lowood","Eric",5377,387,0.0719732192672494
304041103,"The Gap","Steff",8114,584,0.0719743652945526
309011225,"Burleigh Heads","Dave",4300,312,0.0725581395348837
305021116,"Hawthorne","Steff",2821,205,0.0726692662176533
316031426,"Marcoola - Mudjimba","Charlie",5040,368,0.073015873015873
303031064,"Rochedale - Burbank","Steff",3141,231,0.0735434574976122
301011002,"Belmont - Gumdale","Steff",3835,286,0.0745762711864407
304021090,"Kenmore","Steff",4290,321,0.0748251748251748
316021423,"Parrearra - Warana","Dave",4185,319,0.0762246117084827
316021418,"Buddina - Minyama","Dave",2929,227,0.0775008535336292
316021422,"Moffat Beach - Battery Hill","Charlie",3403,265,0.0778724654716427
316031425,"Coolum Beach","Dave",6770,528,0.0779911373707533
305021114,"Bulimba","Steff",3637,285,0.0783612867748144
301021527,"Redland Islands","Eric",2489,200,0.0803535556448373
316011413,"Buderim - North","Dave",7014,573,0.08169375534645
316021421,"Golden Beach - Pelican Waters","Charlie",4421,363,0.0821081203347659
304021088,"Chapel Hill","Steff",5019,414,0.082486551105798
305041134,"Bardon","Steff",5065,418,0.0825271470878578
316011414,"Buderim - South","Kate",7747,648,0.0836452820446625
309011224,"Broadbeach Waters","Kate",3763,317,0.0842412968376296
309081259,"Clear Island Waters","Kate",1742,150,0.0861079219288175
309031240,"Runaway Bay","Dave",3836,331,0.0862877997914494
309101267,"Benowa","Kate",3886,337,0.0867215645908389
311011305,"Beaudesert","Eric",5356,478,0.0892457057505601
304021089,"Fig Tree Pocket","Steff",1921,172,0.0895366996356065
309061250,"Worongary - Tallai","Kate",3718,341,0.0917159763313609
316061444,"Palmwoods","Dave",4835,457,0.0945191313340227
316071546,"Diddillibah - Rosemount","Dave",1638,155,0.0946275946275946
316051544,"Peregian Springs","Kate",2958,280,0.094658553076403
309031239,"Paradise Point - Hollywell","Kate",4308,417,0.0967966573816156
309101268,"Bundall","Kate",2232,223,0.099910394265233
314011387,"Samford Valley","Steff",5845,587,0.100427715996578
310021278,"Esk","Eric",1690,172,0.101775147928994
316081549,"Noosa Hinterland","Charlie",9278,982,0.10584177624488
316071547,"Eumundi - Yandina","Charlie",4753,504,0.106038291605302
304021087,"Brookfield - Kenmore Hills","Steff",3154,337,0.106848446417248
304021091,"Pinjarra Hills - Pullenvale","Steff",2642,289,0.109386828160484
309071253,"Hope Island","Kate",4992,551,0.110376602564103
316051435,"Noosaville","Dave",3481,389,0.111749497270899
316051543,"Peregian Beach - Marcus Beach","Kate",1775,199,0.112112676056338
319031514,"Gympie Region","Eric",7162,805,0.112398771292935
302031036,"Brisbane Airport","Steff",53,6,0.113207547169811
309101269,"Main Beach","Kate",1850,210,0.113513513513514
316051437,"Sunshine Beach","Dave",3198,385,0.120387742338962
316051434,"Noosa Heads","Kate",1903,300,0.157645822385707
