"SA2Name","SA2Code","Score","norm_weekend_percentage","avg_trips_per_stop","reliance_on_PT","cluster"
"Albany Creek",314011382,1075,9.65102328786992,5595.76470588235,5.43068885919086,"5"
"Albion",305031119,1094,17.2660639376503,39699.2916666667,22.6482923906531,"2"
"Alderley",305031120,1106,17.474707560223,15166.8444444444,18.4346330275229,"2"
"Alexandra Hills",301011001,987,9.63709631427942,2048.43362831858,4.12706052219949,"5"
"Algester",303051072,1003,18.6481640838835,11308.5625,9.70993117010816,"5"
"Annerley",303021052,1056,21.5863234462716,18214.3076923077,18.7079618332551,"2"
"Aroona - Currimundi",316021417,975,24.5433195586056,3375.54054054054,1.4246947082768,"5"
"Arundel",309031235,1010,21.927260626371,5761.71428571429,3.05555555555556,"5"
"Ascot",305031121,1109,20.3619316476566,8266.42857142857,13.1485429992893,"5"
"Ashgrove",305041132,1135,17.3799134988351,12020.0361445783,12.8078120577413,"5"
"Ashmore",309091263,1006,23.1918659457614,3891.01923076923,1.93512716549945,"5"
"Aspley",302021027,1047,22.148899181068,9327.21212121212,9.37712729748128,"5"
"Bald Hills",302011022,1013,8.4603887394274,15503.3548387097,10.6347897774114,"2"
"Balmoral",305021113,1119,13.0762819759455,8789.8,12.0136810602822,"5"
"Bardon",305041134,1148,14.9758659839124,5663.11458333333,11.8065153010859,"5"
"Beachmere - Sandstone Point",313011362,931,16.6686008863772,802.344827586207,2.33091325945739,"5"
"Beaudesert",311011305,913,7.52177355502771,2083.44444444444,0.485436893203883,"5"
"Beenleigh",311021306,855,16.6926681174535,21324.6888888889,4.73466793771846,"2"
"Beerwah",316061439,957,13.4934588495881,27960.3333333333,2.61215218625781,"2"
"Bellbird Park - Brookwater",310041296,1041,11.9633118896995,27729.5517241379,4.98184458968773,"2"
"Bellbowrie - Moggill",304021086,1106,22.4849795056422,26071,7.7179236043095,"2"
"Belmont - Gumdale",301011002,1093,11.0327623569611,2663.40425531915,5.5019556714472,"5"
"Benowa",309101267,1064,15.7664043473402,6434.88235294118,1.49253731343284,"5"
"Bethania - Waterford",311051323,931,18.3734328475754,4351.87096774194,4.13938260056127,"5"
"Biggera Waters",309031236,976,34.4370302312334,30931.3913043478,2.88044863624777,"2"
