"SA2Code","SA2Name","Team_Member","normalised_working_time","normalised_non_working_time","norm_weekend_percentage"
311031318,"Munruben - Park Ridge South","Dave",2.87368421052632,0.0136986301369863,0.474430683180184
314011387,"Samford Valley","Steff",6.37894736842105,0.0684931506849315,1.06233086574374
304031093,"Corinda","Steff",834.4,14.3835616438356,1.69460888426951
301021011,"Sheldon - Mount Cotton","Steff",221.315789473684,12.5890410958904,5.3821210383878
313021367,"Elimbah","Charlie",125.494736842105,7.98630136986301,5.98309803163259
311051324,"Cornubia - Carbrook","Kate",59.3473684210526,4.24657534246575,6.67764112610652
311011305,"Beaudesert","Eric",0.168421052631579,0.0136986301369863,7.52177355502771
302041043,"Deagon","Charlie",2163.88421052632,179.575342465753,7.66283088762835
314011385,"Eatons Hill","Steff",384.610526315789,32.5068493150685,7.79321390433673
314011386,"The Hills District","Kate",654.715789473684,55.3698630136986,7.79763157018335
313041375,"Narangba","Dave",2991.16842105263,257.643835616438,7.93040087458284
311061332,"Rochedale South - Priestdale","Dave",1069.38947368421,92.4520547945205,7.95737219993966
301031019,"Wakerley","Steff",709.873684210526,61.5205479452055,7.97524085360098
310011276,"Wacol","Eric",2248.88421052632,198.260273972603,8.10169874433053
301021008,"Ormiston","Kate",1216.48421052632,108.356164383562,8.17880904263146
309071257,"Pimpama","Charlie",1261.93684210526,114.438356164384,8.31447386644669
313041372,"Burpengary","Charlie",2581.8,235.041095890411,8.34413756009598
314011383,"Cashmere","Kate",299.168421052632,27.6301369863014,8.45479158540524
302011022,"Bald Hills","Dave",2454.75789473684,226.876712328767,8.4603887394274
301011005,"Thorneside","Charlie",797.252631578947,73.9041095890411,8.48344575626602
314031391,"Bray Park","Charlie",609.873684210526,56.972602739726,8.54358850827286
311031316,"Hillcrest","Charlie",296.136842105263,28.0821917808219,8.66148771225092
302011026,"McDowall","Steff",957.957894736842,91.027397260274,8.67766192288273
310031284,"Bundamba","Eric",2636.89473684211,251.219178082192,8.69838190190558
314021388,"Dakabin - Kallangur","Eric",3175.43157894737,304.931506849315,8.76148549252624
310011271,"Darra - Sumner","Charlie",5094.98947368421,493.561643835616,8.83165660395099
310041303,"Springfield","Charlie",1732.13684210526,169.671232876712,8.92157495326233
316061441,"Glass House Mountains","Charlie",292.863157894737,30.013698630137,9.29571074036543
304041104,"Upper Kedron - Ferny Grove","Steff",6163.97894736842,637.383561643836,9.37140993145506
310021281,"Lowood","Eric",48.7157894736842,5.04109589041096,9.37758178560316
301011001,"Alexandra Hills","Charlie",1130.96842105263,120.616438356164,9.63709631427942
314011382,"Albany Creek","Kate",1316.77894736842,140.657534246575,9.65102328786992
301011006,"Wellington Point","Kate",1339.61052631579,143.671232876712,9.68603786747347
311061329,"Daisy Hill","Kate",717.210526315789,78.2876712328767,9.841338606941
302011023,"Bridgeman Downs","Steff",486.6,53.2465753424658,9.86327926757475
302021034,"Wavell Heights","Steff",927.663157894737,103.945205479452,10.0760336160389
311031319,"Regents Park - Heritage Park","Charlie",518.431578947368,58.2876712328767,10.1067670646783
305011111,"Spring Hill","Dave",960.115789473684,109.561643835616,10.2424937110865
303051074,"Pallara - Willawong","Kate",439.789473684211,50.3972602739726,10.2812370842888
314021389,"Murrumba Downs - Griffin","Dave",668.336842105263,79.041095890411,10.5757866097017
301031016,"Manly West","Dave",956.178947368421,113.917808219178,10.6455614994015
311051328,"Waterford West","Eric",769.926315789474,91.8493150684932,10.658147176551
303031064,"Rochedale - Burbank","Steff",5938.03157894737,718.506849315068,10.7940013726116
316011415,"Mountain Creek","Dave",733.747368421053,89.1369863013699,10.8322616403903
304021087,"Brookfield - Kenmore Hills","Steff",466.947368421053,56.9041095890411,10.8626417940439
301011002,"Belmont - Gumdale","Steff",489.578947368421,60.7123287671233,11.0327623569611
311051325,"Loganholme - Tanah Merah","Charlie",549.284210526316,68.1232876712329,11.033764227048
301031021,"Wynnum West - Hemmant","Charlie",2989.71578947368,373.671232876712,11.1099683263802
301011003,"Birkdale","Dave",2167.62105263158,271.561643835616,11.1333047839727
314031393,"Petrie","Charlie",5615.67368421053,710.109589041096,11.2256389188003
311021309,"Mount Warren Park","Eric",198.042105263158,25.2876712328767,11.323018197408
304041101,"Mitchelton","Kate",7187.73684210526,934.767123287671,11.5083615504576
310031288,"Ipswich - North","Dave",0.210526315789474,0.0273972602739726,11.5151515151515
304011084,"Seventeen Mile Rocks - Sinnamon Park","Steff",620.147368421053,80.7123287671233,11.5161892017672
304041098,"Enoggera","Kate",4967.76842105263,647.328767123288,11.5283626521445
314031392,"Lawnton","Eric",1969.45263157895,263.095890410959,11.7845541908517
309071255,"Ormeau - Yatala","Dave",184.915789473684,24.7123287671233,11.7886517202503
310041296,"Bellbird Park - Brookwater","Kate",3846.17894736842,522.657534246575,11.9633118896995
311031311,"Boronia Heights - Park Ridge","Eric",457.747368421053,62.7945205479452,12.0632982433591
311031314,"Crestmead","Eric",765.231578947368,105.082191780822,12.0740582666984
311021307,"Eagleby","Eric",625.58947368421,86.0684931506849,12.0940813089573
311021308,"Edens Landing - Holmview","Charlie",462.357894736842,64.2876712328767,12.2070089234499
311031317,"Marsden","Eric",1427.72631578947,200.917808219178,12.3365077279529
304011085,"Westlake","Steff",463.842105263158,65.5068493150685,12.3749841665906
301011004,"Capalaba","Charlie",3093.51578947368,439.041095890411,12.4284225318331
314031394,"Strathpine - Brendale","Eric",6388.81052631579,912.958904109589,12.5032557218998
310011275,"Oxley (Qld)","Kate",4774.01052631579,686.452054794521,12.5713168911587
