"SA2Code","SA2Name","Score","Team_Member","number_of_employees","Pop","percent_unemployed","number_worked_from_home","pt_to_work","dwellings_with_no_cars","Total_dwelings","percentage_houses_no_cars","dwellings_with_no_cars","Total_dwelings","percentage_houses_no_cars"
305011112,"West End",1084,"Steff",5256,9620,45.3638253638254,251,1142,623,3786,16.4553618594823,623,3786,16.4553618594823
304021090,"Kenmore",1119,"Steff",4290,8765,51.0553337136338,321,389,100,3061,3.26690623979092,100,3061,3.26690623979092
305011107,"Highgate Hill",1058,"Kate",3377,6329,46.6424395639122,192,534,366,2375,15.4105263157895,366,2375,15.4105263157895
305021115,"East Brisbane",1084,"Steff",3342,5786,42.2398893881784,138,658,288,2274,12.664907651715,288,2274,12.664907651715
303021054,"Fairfield - Dutton Park",1064,"Kate",2503,4790,47.7453027139875,110,478,249,1775,14.0281690140845,249,1775,14.0281690140845
304021088,"Chapel Hill",1140,"Steff",5019,10311,51.3238289205703,414,461,67,3409,1.96538574361983,67,3409,1.96538574361983
304031097,"Taringa",1100,"Steff",4587,8451,45.7223997160099,205,972,475,3641,13.0458665201868,475,3641,13.0458665201868
304031096,"St Lucia",1096,"Steff",4583,12574,63.5517735008748,244,827,740,3616,20.4646017699115,740,3616,20.4646017699115
301031015,"Manly - Lota",1050,"Kate",3598,7426,51.5486129814166,204,390,194,2809,6.9063723745105,194,2809,6.9063723745105
301031020,"Wynnum",1019,"Dave",6400,13233,51.6360613617471,342,714,464,5022,9.23934687375548,464,5022,9.23934687375548
301031019,"Wakerley",1136,"Steff",4677,8997,48.0160053351117,293,274,13,2752,0.472383720930233,13,2752,0.472383720930233
301031016,"Manly West",1037,"Dave",5577,11425,51.1859956236324,248,387,193,4013,4.80936954896586,193,4013,4.80936954896586
303031064,"Rochedale - Burbank",1125,"Steff",3141,6323,50.3242131899415,231,263,22,1896,1.16033755274262,22,1896,1.16033755274262
305041134,"Bardon",1148,"Steff",5065,9716,47.8694936187732,418,598,141,3241,4.35050910212897,141,3241,4.35050910212897
305041137,"Toowong",1112,"Steff",5789,10800,46.3981481481482,303,1153,580,4255,13.6310223266745,580,4255,13.6310223266745
305041132,"Ashgrove",1135,"Steff",7066,13315,46.9320315433721,434,905,260,4487,5.79451749498551,260,4487,5.79451749498551
304021089,"Fig Tree Pocket",1170,"Steff",1921,4045,52.5092707045736,172,113,15,1238,1.21163166397415,15,1238,1.21163166397415
304031094,"Indooroopilly",1097,"Steff",5924,12134,51.1785066754574,360,1150,512,4458,11.4849708389412,512,4458,11.4849708389412
304031092,"Chelmer - Graceville",1145,"Steff",3716,7411,49.858318715423,267,603,81,2441,3.31831216714461,81,2441,3.31831216714461
301031017,"Murarrie",1066,"Kate",2224,4118,45.9932005828072,96,264,49,1379,3.55329949238579,49,1379,3.55329949238579
304031095,"Sherwood",1098,"Steff",2951,5642,47.6958525345622,157,555,152,2163,7.02727693018955,152,2163,7.02727693018955
310011274,"Inala - Richlands",798,"Eric",5333,18010,70.388672959467,115,390,762,5572,13.6755204594401,762,5572,13.6755204594401
303041070,"Salisbury - Nathan",1033,"Dave",3486,7183,51.4687456494501,128,466,158,2406,6.56691604322527,158,2406,6.56691604322527
305041133,"Auchenflower",1127,"Steff",3176,5499,42.2440443717039,172,633,234,2138,10.9448082319925,234,2138,10.9448082319925
305031127,"Newmarket",1082,"Steff",2833,4979,43.1010243020687,127,552,206,1911,10.7796964939822,206,1911,10.7796964939822
304031093,"Corinda",1082,"Steff",2358,4863,51.5114127082048,125,403,123,1711,7.18877849210988,123,1711,7.18877849210988
304041101,"Mitchelton",1068,"Kate",4217,8362,49.5694809854102,176,659,256,3021,8.47401522674611,256,3021,8.47401522674611
303031060,"Eight Mile Plains",1054,"Kate",7205,15159,52.470479583086,328,1015,206,4926,4.18189200162404,206,4926,4.18189200162404
302011025,"Everton Park",1047,"Kate",4717,8798,46.3855421686747,180,482,212,3533,6.00056609114067,212,3533,6.00056609114067
304041100,"Keperra",990,"Charlie",3002,7084,57.6228119706381,101,417,291,2735,10.6398537477148,291,2735,10.6398537477148
302021033,"Stafford Heights",1031,"Dave",3248,6856,52.6254375729288,125,307,147,2566,5.72876071706937,147,2566,5.72876071706937
302031035,"Boondall",1009,"Charlie",4517,9217,50.9927308234784,128,515,180,3290,5.47112462006079,180,3290,5.47112462006079
302011026,"McDowall",1096,"Steff",4000,7541,46.956637050789,212,299,37,2555,1.44814090019569,37,2555,1.44814090019569
303021056,"Holland Park",1057,"Kate",4132,8305,50.2468392534618,209,570,255,2929,8.70604301809491,255,2929,8.70604301809491
303041071,"Tarragindi",1110,"Steff",5401,10670,49.3814432989691,295,696,116,3524,3.29171396140749,116,3524,3.29171396140749
303041068,"Moorooka",1039,"Dave",5460,10422,47.6108232584916,215,773,395,4090,9.65770171149144,395,4090,9.65770171149144
303021055,"Greenslopes",1069,"Kate",5381,9121,41.0042758469466,180,1098,429,3781,11.3462047077493,429,3781,11.3462047077493
303021053,"Coorparoo",1096,"Steff",9200,16040,42.643391521197,412,1724,613,6455,9.49651432997676,613,6455,9.49651432997676
310011271,"Darra - Sumner",959,"Charlie",2150,4932,56.4071370640714,71,274,94,1568,5.99489795918367,94,1568,5.99489795918367
303011047,"Camp Hill",1122,"Steff",5977,11177,46.5241120157466,313,797,200,3847,5.19885625162464,200,3847,5.19885625162464
302011022,"Bald Hills",1013,"Dave",3639,7275,49.979381443299,102,387,64,2476,2.58481421647819,64,2476,2.58481421647819
305021117,"Morningside - Seven Hills",1088,"Steff",7418,12612,41.1830003171583,339,1225,318,4881,6.51505838967425,318,4881,6.51505838967425
303011050,"Carina Heights",1030,"Dave",3565,6544,45.5226161369193,154,580,224,2590,8.64864864864865,224,2590,8.64864864864865
303011049,"Carina",1057,"Kate",5737,11025,47.9637188208617,226,724,285,4163,6.84602450156137,285,4163,6.84602450156137
305021118,"Norman Park",1136,"Steff",3629,6298,42.378532867577,224,491,79,2249,3.51267229879947,79,2249,3.51267229879947
303031062,"Mansfield (Qld)",1038,"Dave",4018,8722,53.9325842696629,173,459,144,2853,5.04731861198738,144,2853,5.04731861198738
305021113,"Balmoral",1119,"Steff",2339,4228,44.678334910123,162,281,95,1536,6.18489583333333,95,1536,6.18489583333333
305031124,"Hamilton (Qld)",1109,"Steff",3593,6290,42.8775834658188,237,453,240,2655,9.03954802259887,240,2655,9.03954802259887
301011002,"Belmont - Gumdale",1093,"Steff",3835,7375,48,286,211,41,2299,1.7833840800348,41,2299,1.7833840800348
302031037,"Eagle Farm - Pinkenba",1063,"Kate",487,822,40.7542579075426,14,44,21,366,5.73770491803279,21,366,5.73770491803279
303021052,"Annerley",1056,"Kate",6393,11385,43.8471673254282,246,1196,575,4498,12.7834593152512,575,4498,12.7834593152512
305011108,"Kangaroo Point",1085,"Steff",4921,8214,40.0900900900901,244,1005,477,3592,13.2795100222717,477,3592,13.2795100222717
303031066,"Wishart",1060,"Kate",5097,10815,52.871012482663,230,559,146,3584,4.07366071428571,146,3584,4.07366071428571
